species_id,sci_name,type_kind,type_voucher,voucher_matches_metadata,type_voucher_uri,uri_domain,inferred_institution_abbreviation,inference_note,review_action
1002420,Akodon_simulator,holotype,BMNH:Mamm:1902.1.5.8,yes,https://data.nhm.ac.uk/object/cfdff906-4dbe-49c4-bc85-12eb3a6fada2,data.nhm.ac.uk,BM,Natural History Museum London data portal URI,Supplementary URI signal for already matched voucher.
1002421,Akodon_spegazzinii,holotype,BMNH:Mamm:1897.5.5.14,yes,https://data.nhm.ac.uk/object/9e429a2f-363f-48da-8381-c9f0aa6c3887,data.nhm.ac.uk,BM,Natural History Museum London data portal URI,Supplementary URI signal for already matched voucher.
1002424,Akodon_sylvanus,holotype,BMNH:Mamm:1921.1.1.27,yes,https://data.nhm.ac.uk/object/9bbd023b-a784-4b9b-ba93-42fb60210c62,data.nhm.ac.uk,BM,Natural History Museum London data portal URI,Supplementary URI signal for already matched voucher.
1002425,Akodon_toba,holotype,BMNH:Mamm:1920.12.18.20,yes,https://data.nhm.ac.uk/object/057d46da-78f2-471a-9c61-ac249dc93f33,data.nhm.ac.uk,BM,Natural History Museum London data portal URI,Supplementary URI signal for already matched voucher.
1002427,Akodon_varius,holotype,BMNH:Mamm:1902.1.1.67,yes,https://data.nhm.ac.uk/object/e356b5a0-9a19-458d-9320-400b03468edf,data.nhm.ac.uk,BM,Natural History Museum London data portal URI,Supplementary URI signal for already matched voucher.
1006949,Alionoctula_babu,holotype,BMNH:Mamm:1907.11.21.2,yes,https://data.nhm.ac.uk/object/5be18923-dbe8-4616-87bd-907ab64d9ee2,data.nhm.ac.uk,BM,Natural History Museum London data portal URI,Supplementary URI signal for already matched voucher.
1005614,Alionoctula_collina,holotype,BMNH:Mamm:1913.11.7.4,yes,https://data.nhm.ac.uk/object/4c204721-4eff-4618-beea-52b2b7561c2d,data.nhm.ac.uk,BM,Natural History Museum London data portal URI,Supplementary URI signal for already matched voucher.
1005626,Alionoctula_murrayi,holotype,BMNH:Mamm:1899.8.6.34,yes,https://data.nhm.ac.uk/object/569d8922-e634-4863-bbc3-df3d36049f45,data.nhm.ac.uk,BM,Natural History Museum London data portal URI,Supplementary URI signal for already matched voucher.
1005630,Alionoctula_paterculus,holotype,BMNH:Mamm:1914.7.19.242,yes,https://data.nhm.ac.uk/object/0c3ef46a-78bb-4c83-a87d-14a901f45eb1,data.nhm.ac.uk,BM,Natural History Museum London data portal URI,Supplementary URI signal for already matched voucher.
1005637,Alionoctula_stenoptera,holotype,BMNH:Mamm:1872.8.19.17,yes,https://data.nhm.ac.uk/object/11bfdfc8-99cf-477b-9d63-30917ced0c41,data.nhm.ac.uk,BM,Natural History Museum London data portal URI,Supplementary URI signal for already matched voucher.
1005638,Alionoctula_sturdeei,holotype,BMNH:Mamm:1891.2.2.3,yes,https://data.nhm.ac.uk/object/be8acc6c-fcb3-4341-be7c-76ed78a9fd53,data.nhm.ac.uk,BM,Natural History Museum London data portal URI,Supplementary URI signal for already matched voucher.
1000559,Allenopithecus_nigroviridis,holotype,BMNH:Mamm:1909.7.19.3,yes,https://data.nhm.ac.uk/object/599599f4-afa5-4c86-9e98-3108f8ac1e8b | https://data.nhm.ac.uk/object/5a15eb8b-dd54-45fd-b0ff-eb706ecaa707,data.nhm.ac.uk,BM,Natural History Museum London data portal URI,Supplementary URI signal for already matched voucher.
1000930,Allocebus_trichotis,holotype,BMNH:Mamm:1875.1.29.2,yes,https://data.nhm.ac.uk/object/41e3522a-2583-4d1b-9331-6f5fe166c1c9 | https://data.nhm.ac.uk/object/a97a8c55-fcf6-484c-a4c2-680cb221e804,data.nhm.ac.uk,BM,Natural History Museum London data portal URI,Supplementary URI signal for already matched voucher.
1000560,Allochrocebus_lhoesti,holotype,BMNH:Mamm:1908.5.7.4,yes,https://data.nhm.ac.uk/object/5bb6ebcf-cbea-4e6f-b3d1-53cffe5ec281 | https://data.nhm.ac.uk/object/da042a07-73d9-4e56-920b-fea25e3d1b65,data.nhm.ac.uk,BM,Natural History Museum London data portal URI,Supplementary URI signal for already matched voucher.
1000562,Allochrocebus_solatus,holotype,BMNH:Mamm:1985.1148,yes,https://data.nhm.ac.uk/object/494c2bb3-c8ae-43c9-b09a-d6e900baa24f | https://data.nhm.ac.uk/object/56ea6807-c02b-4892-b26e-1d04b5abd5e4 | https://data.nhm.ac.uk/object/a022e33c-3525-4ed6-b997-dff3ce9d6a42 | https://data.nhm.ac.uk/object/aae1834b-0ea2-41f6-bd31-af3ec1917fb8,data.nhm.ac.uk,BM,Natural History Museum London data portal URI,Supplementary URI signal for already matched voucher.
