species_id,sci_name,main_common_name,order,family,genus,specific_epithet,type_kind,type_voucher,extracted_voucher_prefix,candidate_prefix_to_research,type_locality,type_voucher_uris,extinct,domestic
1000777,Lagothrix_lagothricha,Common Woolly Monkey,Primates,Atelidae,Lagothrix,lagothricha,holotype,lost (number not known),LOST,LOST,"Colombia, Río Guaviare, above the mouth of the Río Amanaveni, Guainía.",,False,False
1000782,Callithrix_jacchus,Common Marmoset,Primates,Callitrichidae,Callithrix,jacchus,nonexistent,lost (number not known),LOST,LOST,"America. Restricted by O. Thomas in 1911 to Brazil, Pernambuco.",,False,False
1000784,Callithrix_penicillata,Black-tufted-ear Marmoset,Primates,Callitrichidae,Callithrix,penicillata,holotype,lost (number not known),LOST,LOST,"Brazil. Restricted by O. Thomas in 1911 to Lamarão, near Salvador, Bahia.",http://coldb.mnhn.fr/catalognumber/mnhn/zm/2007-1513,False,False
1000790,Leontopithecus_rosalia,Golden Lion Tamarin,Primates,Callitrichidae,Leontopithecus,rosalia,holotype,lost (number not known),LOST,LOST,"Brazil. Restricted by A. P. M. Wied-Neuwied in 1826 to the coast between 22° S and 23° S, from the Cabo de São Tomé to the municipality of Mangaratiba, and further restricted by C. Carvalho in 1965 to the right bank of the Rio São João, Rio de Janeiro State.",,False,False
1000809,Saguinus_fuscus,Lesson's Saddle-back Tamarin,Primates,Callitrichidae,Saguinus,fuscus,syntypes,lost (number not known),LOST,LOST,"""Plaines de Mocoa,"" the lowlands of the Mocoa district, between the ríos Putumayo and Caquetá, Putumayo, Colombia.",,False,False
1000819,Saguinus_midas,Midas Tamarin,Primates,Callitrichidae,Saguinus,midas,nonexistent,lost (number not known),LOST,LOST,America. Restricted by J. C. D. von Schreber in 1775 to Suriname.,,False,False
1000824,Saguinus_oedipus,Cotton-top Tamarin,Primates,Callitrichidae,Saguinus,oedipus,holotype,lost (number not known),LOST,LOST,"America. Restricted by A. Humboldt in 1812 to Colombia, and further restricted by P. Hershkovitz in 1949 to the lower Rio Sinú, Córdoba, Colombia.",,False,False
1000831,Cebus_capucinus,White-faced Capuchin,Primates,Cebidae,Cebus,capucinus,nonexistent,untraced (number not known),UNTRACED,UNTRACED,Colombia. Restricted by E. A. Goldman in 1914 to northern Colombia.,,False,False
1000843,Sapajus_apella,Brown Capuchin,Primates,Cebidae,Sapajus,apella,holotype,untraced (number not known),UNTRACED,UNTRACED,"""America."" Restricted by É. Geoffroy Saint-Hilaire in 1812 to ""Cayenne, French Guiana.""",,False,False
1000847,Sapajus_nigritus,Black-horned Capuchin,Primates,Cebidae,Sapajus,nigritus,nonexistent,untraced (number not known),UNTRACED,UNTRACED,"Serra dos Orgãos, Rio de Janeiro, Brazil.",,False,False
