sci_name,type_voucher
Sotalia_guianensis,"MNHB 1516, MNHB 2349"
Juscelinomys_huanchacae,MNK 2632
Oecomys_sydandersoni,MNK 2679
Hylaeamys_acritus,MNK 3628
Neoeptesicus_langeri,MNK M 5584
Plecotus_gobiensis,MNKG M11247
Arvicola_persicus,MRSN (number not known)
Leopardus_jacobita,MSNM Ma 143
Mops_sarasinorum,MTD (unnumbered) (lost!)
Rattus_feileri,MTD B11429
Rattus_taliabuensis,MTD B119968
Mysateles_prehensilis,MTD B17131
Petinomys_hageni,"MTD B2057 (= MTD B1946), MTD B2058, RMNH.MAM.13313, RMNH.MAM.13314"
Cercopithecus_wolfi,MTD B2073 (= MTD B2218)
Crocidura_kegoensis,MTD B23389
Crateromys_schadenbergi,MTD B2824 (= MTD B2385)
Babyrousa_celebensis,MTD B3070 (= MTD B2476)
Apomys_datae,MTD B3100
Macaca_tonkeana,MTD B3166 (= MTD B2496)
Alionoctula_minahassae,MTD B3804 (lost!) (= MTD B2523)
Hypsugo_petersi,MTD B3805 (lost!) (= MTD B2524)
Tarsius_sangirensis,"MTD B497 (= MTD ""2243"")"
Strigocuscus_sangirensis,MTD B502
Sicista_weigoldi,MTD B5645
Bunomys_chrysocomus,MTD B612 (= MTD B1707)
Sus_philippensis,"MTD B801 (= MTD B1138), MTD B802 (= MTD B1133)"
Saccopteryx_antioquensis,MUA 11011
Carollia_monohernandezi,MUA 11014
Holochilus_oxe,MUFAL 00023
Crocidura_fingui,MUHNAC/MB01/006000
Sorex_antinorii,MZACUT (number not known)
Mops_aloysiisabaudiae,MZACUT CG 2144
Rhipidomys_ochoagrateroli,MZUCV 977
Pusa_saimensis,MZUH 3255
Dasypus_novemcinctus,Marcgrave's figured specimen
Dobsonia_emersa,NAMRU 5605
Rhinolophus_sakejiensis,NHMBZ 29153
Rhinolophus_smithersi,NHMBZ 33647
Nesokia_bunnii,NHRC 75-105-78
Mystacina_robusta,NMNZ DM 1083
Mesoplodon_traversii,NMNZ MM000546
Mesoplodon_eueu,NMNZ MM003000
Spermophilus_nilkaensis,NMU 8603
Crocidura_ansellorum,NMZ 3675
Spalax_arenarius,"NNPM 2990/31 (= ""14"")"
Apodemus_ponticus,"NNPM 7966/592 (= ""2494"")"
Nannospalax_karyominor,NU 45
Nannospalax_colaki,NU 675
Chionomys_lasistanius,Neuhäuser collection 2231
Eligmodontia_bolsonensis,OMNH:Mamm:34739
Spermophilus_taurensis,OMUS 384
Microtus_dogramacii,OMUS 506
Talpa_hakkariensis,OMUS IG/SD 1533
Ceratotherium_simum,OUM 8221
Mesoplodon_bidens,OUM ZC.06998
Petinomys_mindanensis,"PBS 223, PBS 224"
Lophocebus_osmani,PCM Cam. II 506
Glis_glis,PMS 27369
Potos_flavus,Pennant's specimen of _Potos flavus_
Macaca_selai,Photographed specimen
Rungwecebus_kipunji,Photographed specimen
Paulamys_naso,RGM (number not known)
Cordimus_hooijeri,RGM.444360
Ctenomys_australis,Rusconi 376
Neodon_medogensis,SAF 08810
Neodon_minor,SAF 09244
Soriculus_dexingensis,SAF 11216
Neodon_nyalamensis,SAF 13517
Ochotona_huanglongensis,SAF 14011
Ochotona_flatcalvariam,SAF 15012
Tamiops_minshanicus,SAF 181596
Sicista_meiguites,SAF 191012
Eozapus_wanglangensis,SAF 191248
Vernaya_nushanensis,SAF 19287
Vernaya_meiguites,SAF 201652
Neodon_konggordous,SAF 230511
Neodon_kulakangria,SAF 230542
Alticola_yarlungius,SAF 230697
Ochotona_legbona,SAF 240179
Eospalax_minshanensis,SAF 98126
Neodon_chayuensis,SAF CY37
Uropsilus_aequodonenia,SAF LJS027
Mictomicrotus_liangshanensis,SAF Mabian-003
Ochotona_galunglaensis,SAF SCNU04481
Neodon_bershulaensis,SAF XZ11010
Neodon_liaoruii,SAF XZ11117
Neodon_bomiensis,SAF XZ13015
Neodon_namchabarwaensis,SAF XZGB0818009
Neodon_shergylaensis,SAF XZGB09N195
Neodon_linzhiensis,SAF XZLL02002
Crocidura_zhadaensis,SCNU 01754
Crocidura_medogensis,SCNU 02265
Typhlomys_fengjiensis,SCNU 02616
Dipodomys_gravipes,SDNHM:MAM:4703
Bubalus_mindorensis,SNHM 1590/1251/24231
Spermophilus_vorontsovi,SZM N 18828
Sorex_camtschaticus,SZM N 2342
Marmota_kastschenkoi,SZM N 6884
Cabassous_unicinctus,"Seba pl. 30, fig. 3"
Diplomesodon_sonnerati,Specimen illustrated by Sonnerat
Crocidura_glassi,Stillwater 2107/5151
Microcebus_margotmarshae,TAFO6.1
Crocidura_ramona,TAU M-9342
Lophostoma_occidentale,TCWC:Mamm:11704
Rhinophylla_fischerae,TCWC:Mamm:12102
Platyrrhinus_brachycephalus,TCWC:Mamm:12193
Platyrrhinus_infuscus,TCWC:Mamm:12199
Lophostoma_evote,TCWC:Mamm:17142
Uroderma_magnirostrum,TCWC:Mamm:17189
Rhogeessa_permutandis,TCWC:Mamm:19756
Peromyscus_greenbaumi,TCWC:Mamm:45304
Geomys_brazensis,TCWC:Mamm:537
Scotophilus_ejetai,TCWC:Mamm:57970
Geomys_streckeri,TCWC:Mamm:787
Artibeus_inopinatus,TCWC:Mamm:9517
Sturnira_luisi,TCWC:Mamm:9959
Megaerops_niphanae,TISTR 688
Leopoldamys_neilli,TNRC 4330
Rhinolophus_marshalli,TNRC 54-1669
Hipposideros_lekaguli,TNRC 54-2200
Hipposideros_halophyllus,TNRC 54-3694
Niviventer_hinpoon,TNRC 797
Allactodipus_bobrinskii,"Tashkent 401, Tashkent 402"
Lepilemur_otto,TiHo 02y04bibo
Microcebus_jonahi,TiHo B34
Laephotis_robertsi,UAnt DBA 43677
Voalavo_antsahabensis,UAnt DBA 45701
Scotophilus_tandrefana,UAnt DBA 46923
Microcebus_tanosi,UAnt RMR 209
Peromyscus_stirtoni,UCLA Mammals 10634 (= Dickey collection 10634)
Peromyscus_cordillerae,UCLA Mammals 10716 (= Dickey collection 10716)
Peromyscus_salvadorensis,UCLA Mammals 10747 (= Dickey collection 10748)
Rheomys_thomasi,UCLA Mammals 10917 (= Dickey collection 10917)
Peromyscus_dickeyi,UCLA Mammals 18100 (= Dickey collection 18100)
Peromyscus_caniceps,UCLA Mammals 19683 (= CIT 50273)
Peromyscus_pembertoni,UCLA Mammals 19757 (= CIT 50347)
Peromyscus_sejugis,UCLA Mammals 20042 (= CIT 50632)
Chiropodomys_calamianensis,UIMNH 33391
Peromyscus_hooperi,UIMNH 53848
Neacomys_serranensis,UIS:M:1608
Avahi_meridionalis,ULPS (number not known)
Avahi_peyrierasi,ULPS (number not known)
Avahi_ramanantsoavani,ULPS (number not known)
Lepilemur_sahamalaza,"ULPS Ldo153s, ULPS Ldo158s, ULPS Ldo40, ULPS Lepi205Ak99"
Chimaerodipus_auritus,UMRCNRS XJ0309BH03
Murina_hkakaboraziensis,UMaZC PS160218.6
Lepilemur_aeeclis,UMah 2003-Lem-100
Sorex_cruzi,UNAH 20180722
Phyllomys_centralis,UNB 3820
Echymipera_echinista,UPNG 3075
Peromyscus_bakeri,USAC 4644
Peromyscus_gardneri,USAC 4759
Cynomops_kuizha,UV 2451
Plecotus_kolombatovici,UZDZ 3007
Octomys_rosiae,VG-Q1 1800
Millardia_kondana,VRC AC 291
Crocidura_hikmiya,WHT 6845
Tasmacetus_shepherdi,WRM (number not known)
Murina_milinensis,XZ2023010
Murina_yadongensis,XZ2023082
Murina_chayuensis,XZ2023107
Murina_beibengensis,XZ2024037
Murina_medogensis,XZ2024038
Sorex_leucogaster,YIO 40
Anourosorex_yamashinai,YIO 714
Cuscomys_oblativus,YPM 3320
Cercopithecus_lomamiensis,YPM MAM 014080
Meriones_dahli,Yerevan 5504-8
Dryomys_anatolicus,ZBEU 8715
Crocidura_darvishi,ZMF 3759
Calomyscus_kiabii,ZMF 5133
Calomyscus_darvishi,ZMF 5282
Calomyscus_behzadi,ZMF 5383
Calomyscus_kermanensis,ZMF 5406
Cavia_patzelti,ZMH 7593
Murina_gracilis,ZMNTU 1996.10.3
Harpiola_isodon,ZMNTU 1998.5.3
Murina_bicolor,ZMNTU 2002.2.1
Murina_recondita,ZMNTU 2003.8.1
Blarinomys_breviceps,ZMUC (number not known)
Rhinopoma_microphyllum,ZMUC (number not known)
Saimiri_oerstedii,ZMUC (number not known)
Akodon_cursor,ZMUC (unnumbered)
Gyldenstolpia_fronto,ZMUC (unnumbered)
Lundomys_molitor,ZMUC (unnumbered)
Phyllomys_brasiliensis,ZMUC (unnumbered)
Pseudoryzomys_simplex,ZMUC (unnumbered)
Castoria_angustidens,ZMUC 1/1845:13246
Batomys_salomonseni,ZMUC 11912
Podogymnura_minima,ZMUC 1311
Calomys_tener,ZMUC 252
Bibimys_labiosus,ZMUC 259
Ichthyomys_hydrobates,ZMUC 862
Cabassous_squamicaudis,ZMUC L-33
Thrichomys_apereoides,ZMUC L.117
Marmosops_incanus,"ZMUC L.14, ZMUC L.15, ZMUC 223, ZMUC 224"
Didelphis_albiventris,"ZMUC M02-CN4, ZMUC M02-L4"
Halichoerus_grypus,ZMUC M11-1525
Rhinolophus_hilli,ZMUZ 126639
Nomascus_annamensis,ZMVNU M735
Trachypithecus_selangorensis,ZRC 4-390
Arctonyx_hoevenii,ZRC 4.1143 (= FMSM 330/14)
Ctenomys_pearsoni,ZVC 604
Trachypithecus_leucocephalus,figured specimen
Molossus_molossus,larger specimen of Daubenton
Alouatta_arctoidea,lost (number not known)
Alouatta_guariba,lost (number not known)
Aplodontia_rufa,lost (number not known)
Arctocephalus_australis,lost (number not known)
Arctocephalus_forsteri,lost (number not known)
Arctocephalus_philippii,lost (number not known)
Arctocephalus_pusillus,lost (number not known)
Balaena_mysticetus,lost (number not known)
Balaenoptera_musculus,lost (number not known)
Balaenoptera_physalus,lost (number not known)
Bdeogale_crassicauda,lost (number not known)
Brachyteles_arachnoides,lost (number not known)
Brachyuromys_ramirohitra,lost (number not known)
Cabassous_tatouay,lost (number not known)
Callicebus_personatus,lost (number not known)
Callithrix_jacchus,lost (number not known)
Callithrix_penicillata,lost (number not known)
Callorhinus_ursinus,lost (number not known)
Callosciurus_erythraeus,lost (number not known)
Canis_lycaon,lost (number not known)
Carlito_syrichta,lost (number not known)
Cephalorhynchus_australis,lost (number not known)
Cephalorhynchus_commersonii,lost (number not known)
Cephalorhynchus_cruciger,lost (number not known)
Chalinolobus_tuberculatus,lost (number not known)
Cheracebus_lugens,lost (number not known)
Chiropodomys_gliroides,lost (number not known)
Chiropotes_chiropotes,lost (number not known)
Cynopterus_sphinx,lost (number not known)
Cystophora_cristata,lost (number not known)
Dasyprocta_fuliginosa,lost (number not known)
Delphinapterus_leucas,lost (number not known)
Delphinus_delphis,lost (number not known)
Dicerorhinus_sumatrensis,lost (number not known)
Diphylla_ecaudata,lost (number not known)
Dipodomys_agilis,lost (number not known)
Dorcatragus_megalotis,lost (number not known)
Echymipera_kalubu,lost (number not known)
Eidolon_helvum,lost (number not known)
Erignathus_barbatus,lost (number not known)
Eubalaena_glacialis,lost (number not known)
Eumetopias_jubatus,lost (number not known)
Felis_lybica,lost (number not known)
Felis_margarita,lost (number not known)
Funambulus_palmarum,lost (number not known)
Genetta_angolensis,lost (number not known)
Gerbilliscus_brantsii,lost (number not known)
Histriophoca_fasciata,lost (number not known)
Hyaena_hyaena,lost (number not known)
Hyperoodon_ampullatus,lost (number not known)
Lagothrix_flavicauda,lost (number not known)
Lagothrix_lagothricha,lost (number not known)
Leontopithecus_rosalia,lost (number not known)
Leporillus_apicalis,lost (number not known)
Lissodelphis_borealis,lost (number not known)
Macaca_assamensis,lost (number not known)
