sci_name,type_voucher
Phoca_largha,lost (number not known)
Phoca_vitulina,lost (number not known)
Pusa_caspica,lost (number not known)
Pusa_hispida,lost (number not known)
Pusa_saimensis,MZUH 3255
Pusa_sibirica,lost (number not known)
Melursus_ursinus,untraced (number not known)
Ursus_americanus,untraced (number not known)
Ursus_maritimus,untraced (number not known)
Canis_lycaon,lost (number not known)
Lupulella_mesomelas,untraced (number not known)
Cerdocyon_thous,untraced (number not known)
Dusicyon_australis,untraced (number not known)
Lycalopex_culpaeus,untraced (number not known)
Urocyon_cinereoargenteus,untraced (number not known)
Vulpes_corsac,untraced (number not known)
Vulpes_zerda,untraced (number not known)
Acinonyx_jubatus,untraced (number not known)
Caracal_caracal,untraced (number not known)
Felis_chaus,untraced (number not known)
Felis_lybica,lost (number not known)
Felis_margarita,lost (number not known)
Felis_nigripes,untraced (number not known)
Felis_silvestris,untraced (number not known)
Leopardus_guigna,untraced (number not known)
Leopardus_pardalis,untraced (number not known)
Leopardus_tigrinus,untraced (number not known)
Leptailurus_serval,untraced (number not known)
Lynx_canadensis,untraced (number not known)
Lynx_lynx,untraced (number not known)
Lynx_rufus,untraced (number not known)
Otocolobus_manul,untraced (number not known)
Prionailurus_bengalensis,untraced (number not known)
Puma_concolor,specimen described by Marcgraf
Panthera_leo,untraced (number not known)
Panthera_onca,untraced (number not known)
Panthera_pardus,untraced (number not known)
Panthera_tigris,untraced (number not known)
Panthera_uncia,untraced (number not known)
Galidictis_fasciata,untraced (number not known)
Bdeogale_crassicauda,lost (number not known)
Mungos_mungo,untraced (number not known)
Suricata_suricatta,untraced (number not known)
Crocuta_crocuta,untraced (number not known)
Hyaena_hyaena,lost (number not known)
Proteles_cristatus,untraced (number not known)
Genetta_angolensis,lost (number not known)
Genetta_tigrina,untraced (number not known)
Paradoxurus_hermaphroditus,untraced (number not known)
Paradoxurus_zeylonensis,untraced (number not known)
Civettictis_civetta,Buffon's specimen
Dicerorhinus_sumatrensis,lost (number not known)
Diceros_bicornis,specimen described by Kolbius
Tapirus_indicus,lost (number not known)
Tapirus_terrestris,lost (number not known)
Equus_ferus,untraced (number not known)
Equus_hemionus,untraced (number not known)
Equus_quagga,untraced (number not known)
Equus_zebra,untraced (number not known)
Balaena_mysticetus,lost (number not known)
Eubalaena_glacialis,lost (number not known)
Balaenoptera_acutorostrata,untraced (number not known)
Balaenoptera_musculus,lost (number not known)
Balaenoptera_physalus,lost (number not known)
Megaptera_novaeangliae,lost (number not known)
Delphinus_delphis,lost (number not known)
Sousa_chinensis,lost (number not known)
Pseudorca_crassidens,lost (number not known)
Steno_bredanensis,Ghent MDV50426
Orcinus_orca,lost (number not known)
Cephalorhynchus_australis,lost (number not known)
Cephalorhynchus_commersonii,lost (number not known)
Cephalorhynchus_cruciger,lost (number not known)
Lissodelphis_borealis,lost (number not known)
Delphinapterus_leucas,lost (number not known)
Monodon_monoceros,lost (number not known)
Phocoena_phocoena,lost (number not known)
Physeter_macrocephalus,lost (number not known)
Platanista_minor,lost (number not known)
Hyperoodon_ampullatus,lost (number not known)
Mesoplodon_europaeus,lost (number not known)
Mesoplodon_grayi,lost (number not known)
Tasmacetus_shepherdi,WRM (number not known)
Alcelaphus_buselaphus,untraced (number not known)
Connochaetes_gnou,untraced (number not known)
Damaliscus_pygargus,untraced (number not known)
Antidorcas_marsupialis,untraced (number not known)
Gazella_dorcas,untraced (number not known)
Gazella_gazella,untraced (number not known)
Gazella_subgutturosa,untraced (number not known)
Nanger_dama,untraced (number not known)
Nanger_granti,lost (number not known)
Saiga_tatarica,untraced (number not known)
Ourebia_ourebi,untraced (number not known)
Dorcatragus_megalotis,lost (number not known)
Ammotragus_lervia,untraced (number not known)
Capra_aegagrus,untraced (number not known)
Capra_caucasica,untraced (number not known)
Capra_sibirica,untraced (number not known)
Capricornis_sumatraensis,untraced (number not known)
Naemorhedus_goral,lost (number not known)
Ovibos_moschatus,untraced (number not known)
Philantomba_monticola,untraced (number not known)
Hippotragus_equinus,untraced (number not known)
Oryx_leucoryx,untraced (number not known)
Oreotragus_oreotragus,untraced (number not known)
Kobus_kob,untraced (number not known)
Pelea_capreolus,untraced (number not known)
Redunca_arundinum,untraced (number not known)
Redunca_redunca,untraced (number not known)
Boselaphus_tragocamelus,untraced (number not known)
Bos_grunniens,untraced (number not known)
Bubalus_arnee,untraced (number not known)
Bubalus_bubalis,untraced (number not known)
