sci_name,type_voucher,voucher_prefix,matched_abbreviation,issue
Sminthopsis_nitela,"BMNH:Mamm:1897.4.12.6, NHMO 2064, NHMO 2065, NHMO 22078","BMNH:MAMM:1897.4.12.6,",BMNH,prefix_missing_from_metadata
Sminthopsis_stalkeri,BMNH:Mamm:1906.3.9.91,BMNH:MAMM:1906.3.9.91,BMNH,prefix_missing_from_metadata
Microperoryctes_ornatus,BMNH:Mamm:1903.12.1.23,BMNH:MAMM:1903.12.1.23,BMNH,prefix_missing_from_metadata
Microperoryctes_papuensis,BMNH:Mamm:1950.1130,BMNH:MAMM:1950.1130,BMNH,prefix_missing_from_metadata
Rhynchomeles_prattorum,BMNH:Mamm:1920.7.26.34,BMNH:MAMM:1920.7.26.34,BMNH,prefix_missing_from_metadata
Isoodon_fusciventer,BMNH:Mamm:1841.1176,BMNH:MAMM:1841.1176,BMNH,prefix_missing_from_metadata
Isoodon_macrourus,BMNH:Mamm:1842.5.26.11,BMNH:MAMM:1842.5.26.11,BMNH,prefix_missing_from_metadata
Isoodon_peninsulae,BMNH:Mamm:1915.3.5.71,BMNH:MAMM:1915.3.5.71,BMNH,prefix_missing_from_metadata
Perameles_bougainville,"MNHN-ZM-MO-1933-223 (= MNHN:AGal:234) (= MNHN:NGal:338) (= MNHN ""t. 438"")",MNHN-ZM-MO-1933-223,MNHN,prefix_missing_from_metadata
Perameles_fasciata,BMNH:Mamm:1841.1178,BMNH:MAMM:1841.1178,BMNH,prefix_missing_from_metadata
Perameles_gunnii,BMNH:Mamm:1837.601,BMNH:MAMM:1837.601,BMNH,prefix_missing_from_metadata
Perameles_nasuta,MNHN-ZM-MO-1990-417 (= MNHN:AGal:215) (= MNHN:NGal:327) (= MNHN:type:644),MNHN-ZM-MO-1990-417,MNHN,prefix_missing_from_metadata
Perameles_notina,BMNH:Mamm:1843.8.12.21,BMNH:MAMM:1843.8.12.21,BMNH,prefix_missing_from_metadata
Perameles_pallescens,BMNH:Mamm:1922.12.18.40,BMNH:MAMM:1922.12.18.40,BMNH,prefix_missing_from_metadata
Peroryctes_raffrayanus,MNHN-ZM-MO-1877-2028 (= MNHN:AGal:214a) (= MNHN:NGal:323) (= MNHN:type:647),MNHN-ZM-MO-1877-2028,MNHN,prefix_missing_from_metadata
Macrotis_lagotis,"BMNH:Mamm:1850.11.22.31, BMNH:Mamm:1855.12.24.68","BMNH:MAMM:1850.11.22.31,",BMNH,prefix_missing_from_metadata
Macrotis_leucura,BMNH:Mamm:1883.10.19.17,BMNH:MAMM:1883.10.19.17,BMNH,prefix_missing_from_metadata
Cercartetus_caudatus,MNHN-ZM-MO-1877-1484bis (= MNHN:AGal:191b1) (= MNHN:NGal:159) (= MNHN:type:665),MNHN-ZM-MO-1877-1484BIS,MNHN,prefix_missing_from_metadata
Cercartetus_concinnus,BMNH:Mamm:1844.7.9.12,BMNH:MAMM:1844.7.9.12,BMNH,prefix_missing_from_metadata
Cercartetus_lepidus,BMNH:Mamm:1852.1.15.11,BMNH:MAMM:1852.1.15.11,BMNH,prefix_missing_from_metadata
Cercartetus_nana,MNHN-ZM-MO-1990-413 (= MNHN:AGal:192) (= MNHN:NGal:160) (= MNHN:type:666),MNHN-ZM-MO-1990-413,MNHN,prefix_missing_from_metadata
